Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
KMC07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
KMC41,1,45, ,COMERCIANTE,MEX,ESTADO DE MEXICO, , ,3,900,5,250,2,12,4,3,1,2,2,3,3,1,4,2,2,4,4,1,3,3,2,2.57142857142857,2.85714285714286
JMCM,1,38, ,Terapeuta,USA,CHICAGO,1, ,1,7400,3, , ,17,3,3,1,1,1,2,1,1, , , , , , , ,2.25,1,1.71428571428571, 
EDDG,1,28, ,Psychotherapist,USA,Chicago,1, ,1,11100,4, , ,17,3,3,1,2,4,3,1,1, , , , , , , ,3.25,1.33333333333333,2.42857142857143, 
EV,1,34, ,Psicoterapeuta,USA,Chicago,1, ,1,9250,4, , ,19,3,1,1,1,2,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
AAV,2,22, ,ADMINISTRATIVE ASSISTANT,USA,CHICAGO,1, ,1,0,0, , ,12,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LS,1,30, ,Psicoterapeuta,USA,"Chicago, Illinois",1, ,1,7400,2, , ,21,5,5,3,2,2,4,1,1, , , , , , , ,4,2,3.14285714285714, 
SOH,2,32, ,Psicologa,USA,CHICAGO,1, ,1,9250,1, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LJVR,1,40, ,Psicologo,USA,Chicago,1, ,1,9250,1, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
XR,2,26, ,Psicoterapeuta,USA,Chicago,1, ,1,0,0, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
CD,2,31, ,Psicologa,USA,"Oak Park, Illinois",1, ,1,7400,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
