Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
KMC41,1,45, ,COMERCIANTE,MEX,ESTADO DE MEXICO, , ,3,900,5,250,2,12,4,3,1,2,2,3,3,1,4,2,2,4,4,1,3,3,2,2.57142857142857,2.85714285714286
LEMM,2,48, ,Maestra,USA,CHICAGO,1, ,3,9250,4,50,4,17,3,4,2,2,5,4,1,1,1,3,2,3,3,4,4,4,1.66666666666667,3,2.85714285714286
C032,2,40, ,DOCENTE,COL,ROLDANILLO,1,2,3,750,5,150,3,19,5,2,1,1,5,2,1,1,1,2,1,2,2,1,1,3.5,1,2.42857142857143,1.42857142857143
    28,1,38,600,ABARROTERO,MÉ,CUERNAVACA,1, ,3,500,3,100,1,12,3,5,2,3,3,3,3,1,5,4,2,2,2,2,2,3.5,2.66666666666667,3.14285714285714,2.71428571428571
    26,1,27,1000,TAXISTA,MÉ,CUERNAVACA, ,2,3, , ,100,1,15,1,1,1,1,1,3,1,1,5,4,4,3,3,3,3,1.5,1,1.28571428571429,3.57142857142857
NC,2,20, ,FRONT DESK,USA,CHICAGO,1,1,3,14800,2,400,2,12,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1.5,1.66666666666667,1.57142857142857,1
MC,2,32, ,psicoterapeuta,USA,Chicago,1,1,3,12950,2,100,1,17,2,2,1,1,2,2,1,1,4,4,3,3,2,2,1,2,1,1.57142857142857,2.71428571428571
GMJL,1,38, ,Sistemas computacionales,USA,Ciudad de México,1,1,3,11100,1,150,1,12,2,1,1,1,1,2,1,1,5,5,5,5,5,5,5,1.5,1,1.28571428571429,5
DB,1,77, ,Retired,USA,Aurora,1,1,3,6475,1,100,2,6,5, ,1,1,1,1,1,1,1,2,1,1,1,1,1, ,1, ,1.14285714285714
AP,2,48, ,Psicóloga,USA,CHICAGO,1,1,3,9250,4,100,2,12,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1,1.42857142857143,1
AF,2,22, ,Estudiante,USA,CHICAGO,1,1,3,6475,2,200,20,12,3,3,3,3,3,3,3,2,3,3,3,4,2,3,1,3,3,3,2.71428571428571
CCC,3,45, ,Asesor financiero,USA,CHICAGO,1,1,3,7400,1,100,1,23,1, ,1,1,1,1,1,1,2,1,1,1,1,1,1, ,1, ,1.14285714285714
RG,2,18, ,Estudiante,USA,CHICAGO,1,1,3,18500,5,100,4,12,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1.28571428571429
Emrd,1,24, ,Realizador audiovisual,USA,CHICAGO,1,1,3,3700,2,150,5,12,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1.85714285714286
RPS,1,29, ,Cineasta,USA,CHICAGO,1,1,3,5550,2,100,1,12,3,1,1,1,1,1,1,1,5,3,2,1,1,3,2,1.5,1,1.28571428571429,2.42857142857143
HACZ,1,36, ,Intérprete,USA,CHICAGO,1,1,3,9250,4,100,3,12,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.25,1,1.14285714285714,1.28571428571429
DMR,2,31, ,Abogada,USA,CHICAGO,1,1,3,11100,3,80,3,23,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,2.5,1,1.85714285714286,1
Jk,2,28, ,Locutora,USA,CHICAGO,1,1,3,18500,6,100,1,12,2,3,1,1,5,5,2,3,1,2,1,1,4,1,1,3.75,1.33333333333333,2.71428571428571,1.57142857142857
RR,3,28, ,Estudiante,USA,CHICAGO,1,1,3,11100,2,100,.5,17,5,4,1,1,1,3,1,1,3,1,1,4,4,1,1,3.25,1,2.28571428571429,2.14285714285714
ACM,1,49, ,Escritor,USA,CHICAGO,1,1,3,11100,2,300,1,14,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1.25,1,1.14285714285714,1.28571428571429
C002,1,35, ,DOCENTE INVESTIGADOR,COL,LA UNION,1,2,3,750,7,250,2,19,2,1,1,1,3,1,1,1,3,2,1,1,1,1,1,1.75,1,1.42857142857143,1.42857142857143
C003,2,27, ,DOCENTE ESTUDIANTE,COL,ZARZAL,1,2,3,187.5,.03,10,.16,19,3,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1.75,1,1.42857142857143,1.28571428571429
C010,1,38, ,CONDUCTOR,COL,LA UNION,1,2,3,750,7,150,3,12,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1.25,1,1.14285714285714,1.28571428571429
C014,1,68, ,PENSIONADO,COL,LA UNION,1,2,3,1000,1,175,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C015,1,40, ,COMERCIANTE,COL,LA UNION,1,2,3,400,2,50,.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C016,2,43, ,COMERCIANTE,COL,LA UNION,1,2,3,400,.5,105,1,17,3,1,1,1,2,1,1,1,5,1,1,3,1,1,1,1.75,1,1.42857142857143,1.85714285714286
C017,1,60, ,TRANSPORTISTA,COL,LA UNION,1,2,3,1000,7,150,.5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1.28571428571429
C030,1,56, ,DOCENTE,COL,ROLDANILLO,1,2,3,750,3,100,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C038,1,16, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,275,6,300,6,11,1,2,1,1,1,1,1,1,2,5,1,1,1,2,2,1.25,1,1.14285714285714,2
C039,1,16, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,250,4,250,4,11,1,1,1,1,3,2,1,1,5,2,1,1,1,3,1,1.75,1,1.42857142857143,2
C046,2,34, ,ESTUDIANTE,COL,ZARZAL,1,2,3,700,4,120,5,16,2,1,1,1,2,1,1,1,4,1,1,2,1,2,1,1.5,1,1.28571428571429,1.71428571428571
C047,1,26, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,750,4,125,4,16,3,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1.57142857142857,1.42857142857143
C049,2,20, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,100,2,60,1,14,2,2,1,1,2,1,1,1,4,1,3,2,2,3,1,1.75,1,1.42857142857143,2.28571428571429
C050,1,19, ,PUBLICISTA,COL,ROLDANILLO,1,2,3,400,1,50,1,15,2,2,1,1,1,1,1,1,2,2,1,2,4,3,2,1.5,1,1.28571428571429,2.28571428571429
